SMILES,Warhead
C#CCN1C(=C(C(=O)N(C1=O)c2cncc3c2cccc3)n4c5ccccc5nn4)c6cccc(c6)Cl,['A38']
C#Cc1cccc(c1)CC(=O)Nc2cncc3c2cccc3,['NO0']
C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,['7ON']
C1COCCO1,['DIO']
C=C(c1cccnc1)C(=O)Nc2ccccc2,['KJO']
C=CCN1C(=C(C(=O)N(C1=O)c2cncc3c2cccc3)n4c5ccccc5nn4)c6cccc(c6)Cl,['A37']
CC(=O)N(Cc1cccc(c1)Cl)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)c3cccs3,['A43']
CC(=O)N(c1ccc(cc1)c2ccns2)[C@H](c3cnccn3)C(=O)NC4CCC(CC4)(F)F,['A45']
CC(=O)N1CCC[C@H](C1)N(CC2CCCCC2)C3CCC(CC3)O,['LRN']
CC(=O)N1CCN(CC1)CC(=O)Nc2cncc3c2cccc3,['NZK']
CC(=O)N1CCN(CC1)CC(=O)Nc2cnccc2C3CC3,['PVR']
CC(=O)N1CCN(CC1)CCNC(=O)c2cccc3c2cccc3,['KMF']
CC(=O)N1CCN(CC1)Cc2cc(cc(c2)Cl)O,['OJO']
CC(=O)N1CCN(CC1)Cc2cnc(s2)Cc3ccccc3,['KMX']
CC(=O)N1CC[C@H](c2c1ccc(c2)Cl)C(=O)Nc3cncc4c3cccc4,['PUU']
CC(=O)N1C[C@@H]2C[C@H]1CN2Cc3cccc(c3)Cl,['Q4F']
CC(=O)N1Cc2ccccc2[C@H](C1)c3cccc(c3)C#N,['LQU']
CC(=O)NC1=NC(=C(C2(C1C#N)CCCCC2)C#N)SC,['O3U']
CC(=O)NCCc1c[nH]c2c1cccc2CN3CCN(CC3)C(=O)C,['L8F']
CC(=O)NNC(=O)[C@@H]1Cc2ccccc2CN1C(=O)C,['LM0']
CC(=O)Nc1ccncc1NC(=O)[C@@H]2Cc3c2cc(cc3)F,['LR0']
CC(=O)Nc1nc2c(s1)cccc2S(=O)(=O)NCCc3ccccc3,['LXF']
CC(=O)[C@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCOCC#C,['YVY']
CC(C)(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)CO)NC(=O)OCc2ccccc2,['JX6']
CC(C)(C)NC(=O)[C@H](c1cccnc1)Nc2ccc(cc2)CCC#N,['KLR']
CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)N)O,['MXU']
CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)NCc4ccccc4)O,['O6K']
CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@@H](CC2CC2)C(=O)N[C@@H](C[C@H]3CCNC3=O)[C@@H](C(=O)NCc4ccccc4)O,['UAX']
CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@@H](C(=O)NCc4ccccc4)O,['V9R']
CC(C)(C)[C@@H](C(=O)N1C[Si](C[C@H]1C(=O)N[C@@H](C[C@@H]2CCNC2=O)C#N)(C)C)NC(=O)OC,['A25']
CC(C)(C)[C@@H](C(=O)N1Cc2cc(ccc2C[C@H]1C(=O)N[C@@H](C[C@@H]3CCCNC3=O)[C@@H](c4nc5ccccc5s4)O)F)NC(=O)C(F)(F)F,['A35']
CC(C)(C)[C@@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@@H](c4nc(cs4)c5ccccc5)O)NC(=O)C(F)(F)F,['A48']
CC(C)(C)c1ccc(cc1)N([C@@H](c2cccnc2)C(=O)NC3CCCCC3)C(=O)c4c[nH]cn4,['9M5']
CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NC3CCCCC3)C(=O)c4c[nH]cn4,['X77']
CC(C)([C@H](C(=O)OCc1ccc(cc1F)F)N/C=C(/C=O)\NC(=O)COc2ccccc2)S(=O)O,['IFO']
CC(C)C[C@@H](C(=O)NN(CC1=CC=CNC1=O)C(=O)C(Cl)Cl)NC(=O)c2cc3c([nH]2)cccc3OC,['A34']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCc2ccccc2,['B1S']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCc2ccc(cc2)OC,['A11']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F,['A44']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)c2cccc3c2nccc3,['A21']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@@H](CO)O)NC(=O)c2cc3c([nH]2)cccc3OC,['V2M']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@@H](O)S(=O)(=O)O)NC(=O)OCc2ccccc2,['K36']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@@H](c2nc(cs2)C(=O)OC)O)NC(=O)[C@H](C(C)C)NC(=O)OCc3ccccc3,['A26']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](C(=O)NC2CC2)O)N3C[C@H](CC3=O)NC(=O)OCc4ccccc4,['U6Y']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](C(=O)NC2CC2)O)N3C[C@H](CCC3=O)NC(=O)OCc4cc(cc(c4)F)F,['U76']
CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCN[C@@H]1O)CN)NC(=O)c2ccc(cc2)c3ccc(nc3)F,['A13']
CC(C)C[C@@H](C(=O)N[C@H](CC[N+](=O)[O-])C[C@@H]1CCNC1=O)NC(=O)c2cc3c([nH]2)cccc3OC,['QQL']
CC(C)C[C@@H](C(=O)N[C@H](CC[N+](=O)[O-])C[C@H]1CCNC1=O)NC(=O)OCc2ccccc2,['QH0']
CC(C)C[C@@H](C(=O)N[C@H](C[C@@H]1CCNC1=O)CO)NC(=O)[C@H](C(C)C)NC(=O)OCc2ccccc2,['VJA']
CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,['ALD']
CC(C)C[C@H]1CN(CCN1Cc2cccc(c2)Cl)C(=O)C,['KSI']
CC(C)OCCCN(Cc1ccco1)C(=O)NC2=CN(C(=O)c3c2cccc3)C,['OUF']
CC(C)[C@@H](C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)CO)NC(=O)OC(C)(C)C,['84C']
CC(C)[C@@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@@H]2CCNC2=O)CO)OC)NC(=O)OC(C)(C)C,['83N']
CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](CCSC)C=O)C2(C)C)NC(=O)C(F)(F)F,['A46']
CC(C)[C@@H](C(=O)O)N,['VAL']
CC1(CN(C1)C(=O)[C@@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@@H]3[C@@H]4[C@@H](C4(C)C)CN3C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)O)C,['X6T']
CC1(C[C@@H](C(=O)N1)C[C@@H](C=N)NC(=O)[C@@H]2[C@@H]3CC[C@H](N2C(=O)[C@@H](CC4CCC4)NC(=O)C(F)(F)F)CC3(F)F)C,['A24']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)CCc3ccccc3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C,['91I']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)CNc3c(cc(cc3F)F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C,['91Z']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COc3ccc(cc3Cl)Cl)C(=O)N[C@@H](C[C@@H]4CCNC4=O)CO)C,['SQ3']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)OCc3ccccc3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)CO)C,['YHI']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)OCc3ccccc3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C,['90U']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](CN3CCCC3=O)[C@H](C(=O)N4CCC4)O)C,['X9Z']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](CN3CCCCC3=O)[C@H](C(=O)N4CCC4)O)C,['XA8']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)[C@H](C(=O)N4CC(C4)(F)F)O)C,['X70']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)[C@H](C(=O)N4CCC4)O)C,['X6O']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)N4CCC4)O)C,['M0C']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)NC)O)C,['90H']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)CC(C)(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)N)O)C,['8ZI']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)N[C@@H](CC3CCC3)[C@H](C(=O)N)O)C,['U5G']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)N)O)C,['I70']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)NC)O)C,['I8H']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)OC)C(=O)N[C@@H](CCSC)C=O)C,['A47']
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)OC)C(=O)N[C@@H](CCSC)[C@H](C(=O)NC3CC3)O)C,['A42']
CC1=C(C(=O)N(C(=O)N1CC=C)c2cncc3c2cccc3)n4c5ccccc5nn4,['A39']
CC1CCN(CC1)C(=O)Cn2c3ccccc3nn2,['SQ2']
CCC(=O)N(c1cncc2c1cccc2)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,['Q0I']
CCC(=O)N1CCN(CC1)Cc2ccc(cc2)F,['KS0']
CCC(=O)Nc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,['R30']
CCCCOc1ccc(cc1CC(=O)Nc2cnccc2C)Cl,['O2R']
CCC[C@@H]([C@H](C(=O)NC1CC1)O)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)c5cnccn5,['SV6']
CCC[C@H](c1cccc(c1)Cl)C(=O)Nc2cnccc2C,['L6R']
CCOC(=O)CC[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2CC2)NC(=O)/C=C/c3ccc(cc3)C#C,['YVA']
CCOC(=O)CC[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc2ccc(cc2)F)NC(=O)[C@@H](Cc3ccc(cc3)F)N,['YVD']
